fen,value
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.08479588154870199
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-0.08479588154870199
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,0.06490861277463751
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 7 5,-0.03248856212414491
r1bq1rk1/pppp1ppp/5n2/2b1p3/2BnP3/2N2N1P/PPPP1PP1/R1BQ1RK1 w - - 1 7,0.2682711820216014
r1bq1rk1/p1pp1ppp/5n2/1pb1p3/3nP3/2NB3P/PPPP1PPN/R1BQ1RK1 b - - 1 8,0.221278467898444
r1bq1rk1/p4ppp/2p2n2/1pbpp3/3nP3/P1NB3P/1PPP1PPN/R1BQ1RK1 w - - 0 10,-0.23549574953849794
r1bq1rk1/p4ppp/5n2/1pbpp3/1P1n4/P1NB3P/2PP1PPN/R1BQ1RK1 b - - 0 11,0.34080231961773716
r1bq1rk1/p4ppp/1b3n2/1n1pp3/1P6/P2B3P/2PP1PPN/R1BQ1RK1 w - - 0 13,-0.1997767377279966
r1bq1rk1/5ppp/pbB2n2/3pp3/1P6/P6P/2PP1PPN/R1BQ1RK1 b - - 1 14,0.13909244787845804
1rb2rk1/5ppp/pbBq1n2/3pp3/PP6/7P/2PP1PPN/R1BQ1RK1 w - - 1 16,0.09966799462495582
1rb2rk1/5ppp/1bBq1n2/1P1pp3/8/7P/2PP1PPN/R1BQ1RK1 b - - 0 17,-0.08479588154870199
1rb2rk1/5ppp/1bBq4/1P1pp1n1/8/5Q1P/2PP1PPN/R1B2RK1 w - - 3 19,0.4834677598628625
1rb2rk1/5ppp/1bB3q1/1P1Qp1n1/6N1/7P/2PP1PP1/R1B2RK1 b - - 2 20,-0.2705896986456141
1r3r1k/5ppp/1bB3q1/1P1Qp1n1/6P1/8/2PP1PP1/R1B2RK1 w - - 1 22,0.6923732720415865
1r3r1k/5ppp/1bB1n1q1/1P2Q3/6P1/3P4/2P2PP1/R1B2RK1 b - - 0 23,-0.41571454284896264
1r3r1k/6pp/1bB1np2/1P2Q3/6q1/3P4/1BP2PP1/R4RK1 w - - 0 25,0.6138026315335672
1r3r1k/6pp/2B1np2/1P6/3b2q1/2PP4/1B3PPQ/R4RK1 b - - 0 26,-0.7001017166719224
1r3r1k/6pp/2B2p2/1P2b3/5nq1/2PP2P1/1B3P1Q/R4RK1 w - - 1 28,0.5682943783549709
1r3r1k/6pp/2B2p2/1P2b3/3P2q1/2P3P1/1B2nP1Q/R4R1K b - - 2 29,-0.33193385350364046
1r3r1k/6pp/2Bb4/1P3p2/3P2q1/2P3P1/1B2nP1Q/4RR1K w - - 0 31,0.6988248405083122
1r5k/6pp/2Bb1r2/1P3p2/2PP2q1/6P1/1B2nPQ1/4RR1K b - - 0 32,1.0
1r5k/6pp/2Bb4/1P3p2/2PP2q1/6P1/1B2nP1r/4RR1K w - - 0 34,-1.0
1r5k/6pp/2Bb4/1P3p1q/2PP4/6P1/1B2nPK1/4RR2 b - - 2 35,0.6640367702678489
1r5k/6pp/3b4/1P3p2/2PP1nq1/5BP1/1B3PK1/4RR2 w - - 5 37,-1.0
1r5k/6pp/3b4/1P3p2/2PP1n2/5qP1/1B3P1K/4RR2 b - - 1 38,1.0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.09223708209155926
